,Unnamed: 0,qid,title,category,sub_category,cve_id,cvss,publish_date
1057,1187,710409,Gentoo Linux Xen Multiple Vulnerabilities (GLSA 201702-27),GentooOS,"Unix Authenticated Discovery, Patch Available",CVE-2017-2615,9.1,2021-09-06
1060,1190,710336,"Gentoo Linux Chromium, Google Chrome Multiple Vulnerabilities (GLSA 201711-02)",GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2017-15398,CVE-2017-15399,CVE-2017-15396",9.8,2021-09-06
1063,1193,710339,Gentoo Linux X.Org Multiple Vulnerabilities (GLSA 201704-03),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2016-5407,CVE-2016-7942,CVE-2016-7947,CVE-2016-7953,CVE-2016-7944,CVE-2016-7943,CVE-2017-2625,CVE-2017-2626,CVE-2016-7949,CVE-2017-2624,CVE-2016-7946,CVE-2016-7950,CVE-2016-7945,CVE-2016-7948",9.8,2021-09-06
1067,1197,710343,Gentoo Linux Pidgin Multiple Vulnerabilities (GLSA 201701-38),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2016-2368,CVE-2016-2373,CVE-2016-2378,CVE-2016-2374,CVE-2016-2365,CVE-2016-2379,CVE-2016-2370,CVE-2016-2380,CVE-2016-1000030,CVE-2016-4323,CVE-2016-2367,CVE-2016-2377,CVE-2016-2366,CVE-2016-2371,CVE-2016-2369,CVE-2016-2376,CVE-2016-2375,CVE-2016-2372",9.8,2021-09-06
1068,1198,710344,Gentoo Linux PostgreSQL Multiple Vulnerabilities (GLSA 201710-06),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2017-7548,CVE-2017-7486,CVE-2017-7547,CVE-2017-7546,CVE-2017-7484,CVE-2017-7485",9.8,2021-09-06
1069,1199,710345,Gentoo Linux Adobe Flash Player Multiple Vulnerabilities (GLSA 201711-13),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2017-11215,CVE-2017-11225,CVE-2017-3112,CVE-2017-11213,CVE-2017-3114",9.8,2021-09-06
1071,1201,710347,"Gentoo Linux Oracle Java Development Toolkit/Java Runtime Error, IcedTea Multiple Vulnerabilities (GLSA 201709-22)",GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2017-10243,CVE-2017-10089,CVE-2017-10114,CVE-2017-10086,CVE-2017-10198,CVE-2017-10053,CVE-2017-10121,CVE-2017-10117,CVE-2017-10067,CVE-2017-10111,CVE-2017-10110,CVE-2017-10176,CVE-2017-10125,CVE-2017-10193,CVE-2017-10101,CVE-2017-10078,CVE-2017-10115,CVE-2017-10109,CVE-2017-10118,CVE-2017-10090,CVE-2017-10108,CVE-2017-10135,CVE-2017-10074,CVE-2017-10105,CVE-2017-10096,CVE-2017-10116,CVE-2017-10107,CVE-2017-10081,CVE-2017-10102,CVE-2017-10087",9.6,2021-09-06
1072,1202,710348,Gentoo Linux feh Arbitrary remote code execution Vulnerability (GLSA 201707-08),GentooOS,"Unix Authenticated Discovery, Patch Available",CVE-2017-7875,9.8,2021-09-06
1073,1203,710349,Gentoo Linux zlib Multiple Vulnerabilities (GLSA 201701-56),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2016-9841,CVE-2016-9842,CVE-2016-9840,CVE-2016-9843",9.8,2021-09-06
1076,1206,710352,Gentoo Linux RubyGems Multiple Vulnerabilities (GLSA 201710-01),GentooOS,"Unix Authenticated Discovery, Patch Available, Exploit Available","CVE-2017-0901,CVE-2017-0899,CVE-2017-0900,CVE-2017-0902",9.8,2021-09-06
1083,1213,710359,Gentoo Linux libxml2 Multiple Vulnerabilities (GLSA 201711-01),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2017-5969,CVE-2017-0663,CVE-2017-9047,CVE-2017-9049,CVE-2017-9050,CVE-2016-9318,CVE-2017-7375,CVE-2017-9048",9.8,2021-09-06
1084,1214,710360,Gentoo Linux LibRaw Multiple Vulnerabilities (GLSA 201701-60),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2015-8367,CVE-2015-3885,CVE-2015-8366",9.8,2021-09-06
1089,1219,710365,Gentoo Linux Kpathsea User-assisted execution of arbitrary code Vulnerability (GLSA 201709-07),GentooOS,"Unix Authenticated Discovery, Patch Available",CVE-2016-10243,9.8,2021-09-06
1090,1220,710366,Gentoo Linux FreeRADIUS Security bypass Vulnerability (GLSA 201706-27),GentooOS,"Unix Authenticated Discovery, Patch Available",CVE-2017-9148,9.8,2021-09-06
1092,1222,710368,Gentoo Linux Ruby Multiple Vulnerabilities (GLSA 201710-18),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2016-2337,CVE-2017-14064,CVE-2017-0898,CVE-2017-10784,CVE-2017-14033",9.8,2021-09-06
1094,1224,710370,Gentoo Linux X.Org Server Multiple Vulnerabilities (GLSA 201711-05),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2017-12181,CVE-2017-12182,CVE-2017-12183,CVE-2017-12180,CVE-2017-12179,CVE-2017-12176,CVE-2017-12177,CVE-2017-12178",9.8,2021-09-06
1099,1229,198476,Ubuntu Security Notification for uWSGI Vulnerability (USN-5054-1),Ubuntu,"Unix Authenticated Discovery, Patch Available",CVE-2020-11984,9.8,2021-09-06
1108,1238,710322,Gentoo Linux Expat Multiple Vulnerabilities (GLSA 201701-21),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2016-0718,CVE-2012-6702,CVE-2016-5300,CVE-2015-1283,CVE-2013-0340,CVE-2016-4472",9.8,2021-09-06
1109,1239,710323,"Gentoo Linux Vim, gVim Remote execution of arbitrary code Vulnerability (GLSA 201706-26)",GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2017-6349,CVE-2017-6350,CVE-2017-5953",9.8,2021-09-06
1114,1244,710328,Gentoo Linux Oracle Java Runtime Error/Java Development Toolkit Multiple Vulnerabilities (GLSA 201701-65),GentooOS,"Unix Authenticated Discovery, Patch Available, Exploit Available","CVE-2016-2183,CVE-2017-3262,CVE-2016-5548,CVE-2016-5547,CVE-2017-3272,CVE-2016-5549,CVE-2017-3289,CVE-2016-8328,CVE-2017-3241,CVE-2017-3261,CVE-2017-3259,CVE-2017-3231,CVE-2017-3260,CVE-2017-3252,CVE-2016-5552,CVE-2016-5546,CVE-2017-3253",9.6,2021-09-06
1116,1246,710330,Gentoo Linux Xen Multiple Vulnerabilities (GLSA 201710-17),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2017-10918,CVE-2017-10914,CVE-2017-10922,CVE-2017-10920,CVE-2017-10921,CVE-2017-10913,CVE-2017-10912,CVE-2017-10915",10.0,2021-09-06
1118,1248,710332,Gentoo Linux MariaDB and MySQL Multiple Vulnerabilities (GLSA 201701-01),GentooOS,"Unix Authenticated Discovery, Patch Available, Exploit Available","CVE-2016-8283,CVE-2016-8286,CVE-2016-6662,CVE-2016-5507,CVE-2016-8290,CVE-2016-5630,CVE-2016-5631,CVE-2016-8288,CVE-2016-5609,CVE-2016-5629,CVE-2016-5633,CVE-2016-5612,CVE-2016-5584,CVE-2016-3495,CVE-2016-5627,CVE-2016-8289,CVE-2016-5635,CVE-2016-5625,CVE-2016-5628,CVE-2016-6652,CVE-2016-8287,CVE-2016-5632,CVE-2016-3492,CVE-2016-5634,CVE-2016-8284,CVE-2016-5626",9.8,2021-09-06
1119,1249,710333,Gentoo Linux libevent Multiple Vulnerabilities (GLSA 201705-01),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2016-10197,CVE-2016-10196,CVE-2016-10195",9.8,2021-09-06
1135,1266,91813,Microsoft Azure Stack Hub Security Updates - August 2021,Windows,"Windows Authenticated Discovery, Patch Available","CVE-2021-36948,CVE-2021-36938,CVE-2021-36937,CVE-2021-36936,CVE-2021-36933,CVE-2021-36932,CVE-2021-26433,CVE-2021-26432,CVE-2021-26426,CVE-2021-26424,CVE-2021-34537,CVE-2021-34487,CVE-2021-34536,CVE-2021-34486,CVE-2021-34535,CVE-2021-34534,CVE-2021-34483,CVE-2021-34480,CVE-2021-34530,CVE-2021-36947,CVE-2021-36942,CVE-2021-26425,CVE-2021-34484,CVE-2021-34533,CVE-2021-36926",9.8,2021-09-02
1146,1277,257091,CentOS Security Update for qt5-qtimageformats Security Update (CESA-2021:2328),CentOS,"Unix Authenticated Discovery, Patch Available","CVE-2020-36328,CVE-2018-25011,CVE-2020-36329,CVE-2018-25014",9.8,2021-06-17
1162,1294,730169,Solarwinds Orion SUPERNOVA Malware Detected (Remote Detection),CGI,"Remote Discovery, Patch Available",CVE-2020-10148,9.8,2021-09-02
1164,1296,730176,Cisco IP Phones Web Server Remote Code Execution and Denial of Service Vulnerability (cisco-sa-voip-phones-rce-dos-rB6EeRXs),CGI,"Remote Discovery, Patch Available, Exploit Available",CVE-2020-3161,9.8,2021-09-02
1193,1345,751061,OpenSUSE Security Update for nodejs12 (openSUSE-SU-2021:2875-1),SUSE,"Unix Authenticated Discovery, Patch Available","CVE-2021-22940,CVE-2021-22931,CVE-2021-22939,CVE-2021-3672,CVE-2021-22930",9.8,2021-09-01
1203,1355,710291,Gentoo Linux Python Buffer overflow Vulnerability (GLSA 201805-02),GentooOS,"Unix Authenticated Discovery, Patch Available",CVE-2017-1000158,9.8,2021-09-01
1206,1358,710294,Gentoo Linux cURL Multiple Vulnerabilities (GLSA 201804-04),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2018-1000005,CVE-2018-1000121,CVE-2018-1000120,CVE-2018-1000122,CVE-2018-1000007",9.8,2021-09-01
1210,1362,710298,Gentoo Linux Quassel Multiple Vulnerabilities (GLSA 201806-04),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2018-1000179,CVE-2018-1000178",9.8,2021-09-01
1212,1364,710300,Gentoo Linux Libav Multiple Vulnerabilities (GLSA 201811-19),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2017-7862,CVE-2017-16803",9.8,2021-09-01
1215,1367,710303,Gentoo Linux Mozilla Thunderbird Multiple Vulnerabilities (GLSA 201803-14),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2017-7809,CVE-2017-7830,CVE-2017-7847,CVE-2017-7826,CVE-2017-7807,CVE-2017-7823,CVE-2017-7793,CVE-2017-7801,CVE-2017-7814,CVE-2018-5099,CVE-2017-7786,CVE-2017-7818,CVE-2017-7824,CVE-2018-5095,CVE-2017-7785,CVE-2017-7848,CVE-2018-5104,CVE-2018-5117,CVE-2017-7753,CVE-2017-7800,CVE-2017-7829,CVE-2017-7819,CVE-2018-5096,CVE-2017-7787,CVE-2017-7802,CVE-2017-7784,CVE-2017-7779,CVE-2018-5103,CVE-2017-7828,CVE-2018-5097,CVE-2017-7846,CVE-2017-7803,CVE-2018-5098,CVE-2017-7792,CVE-2017-7810,CVE-2017-7791,CVE-2017-7805,CVE-2017-7825,CVE-2018-5102,CVE-2018-5089",9.8,2021-09-01
1216,1368,710304,Gentoo Linux GPL Ghostscript Multiple Vulnerabilities (GLSA 201811-12),GentooOS,"Unix Authenticated Discovery, Patch Available, Exploit Available","CVE-2018-15908,CVE-2017-9618,CVE-2018-16585,CVE-2017-7948,CVE-2017-9727,CVE-2018-16541,CVE-2018-16802,CVE-2017-9611,CVE-2018-16542,CVE-2018-16511,CVE-2017-9610,CVE-2018-16513,CVE-2018-18284,CVE-2018-15910,CVE-2018-15909,CVE-2018-16509,CVE-2017-9739,CVE-2017-9620,CVE-2018-16539,CVE-2017-9612,CVE-2017-9726,CVE-2018-15911,CVE-2018-16540,CVE-2018-16510,CVE-2018-16543,CVE-2018-10194,CVE-2017-9740,CVE-2017-9835,CVE-2017-9619,CVE-2017-11714,CVE-2018-19409",9.8,2021-09-01
1219,1371,710308,Gentoo Linux cURL Multiple Vulnerabilities (GLSA 201806-05),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2018-1000301,CVE-2018-1000300",9.8,2021-09-01
1221,1373,710310,Gentoo Linux Exiv2 Multiple Vulnerabilities (GLSA 201811-14),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2018-11531,CVE-2018-10780,CVE-2017-17723,CVE-2018-9146,CVE-2018-9304,CVE-2018-5772,CVE-2017-17724,CVE-2018-8977,CVE-2018-10998,CVE-2018-9145,CVE-2018-12264,CVE-2018-9305,CVE-2018-12265,CVE-2018-8976,CVE-2018-10999,CVE-2018-11037,CVE-2018-10958,CVE-2018-9303,CVE-2018-9144,CVE-2018-9306",9.8,2021-09-01
1223,1375,710312,Gentoo Linux X.Org X11 library Multiple Vulnerabilities (GLSA 201811-01),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2018-14599,CVE-2018-14600,CVE-2018-14598",9.8,2021-09-01
1231,1383,730167,Joomla Incorrect Access Control Vulnerability (20210801),CGI,"Remote Discovery, Patch Available",CVE-2021-26040,9.1,2021-09-01
1235,1387,751057,SUSE Enterprise Linux Security Update for sssd (SUSE-SU-2021:2873-1),SUSE,"Unix Authenticated Discovery, Patch Available",CVE-2021-3621,9.8,2021-09-01
1247,1399,710270,Gentoo Linux libsndfile Multiple Vulnerabilities (GLSA 201811-23),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2017-8363,CVE-2017-6892,CVE-2018-13139,CVE-2017-14634,CVE-2017-8365,CVE-2017-8361,CVE-2017-12562,CVE-2017-8362",9.8,2021-09-01
1252,1404,710275,Gentoo Linux Adobe Flash Player Multiple Vulnerabilities (GLSA 201806-02),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2018-4945,CVE-2018-5000,CVE-2018-5002,CVE-2018-4944,CVE-2018-5001",9.8,2021-09-01
1254,1406,710277,Gentoo Linux collectd Multiple Vulnerabilities (GLSA 201803-10),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2017-18240,CVE-2017-16820",9.8,2021-09-01
1256,1408,710279,Gentoo Linux Mozilla Firefox Multiple Vulnerabilities (GLSA 201810-01),GentooOS,"Unix Authenticated Discovery, Patch Available, Exploit Available","CVE-2018-12358,CVE-2018-12360,CVE-2018-12369,CVE-2018-5159,CVE-2018-5168,CVE-2018-5188,CVE-2018-12385,CVE-2018-12366,CVE-2018-5158,CVE-2018-5127,CVE-2018-5131,CVE-2018-12359,CVE-2018-12379,CVE-2018-12362,CVE-2018-5130,CVE-2018-12365,CVE-2018-12376,CVE-2018-5144,CVE-2018-5183,CVE-2018-5186,CVE-2018-12383,CVE-2018-12364,CVE-2018-12367,CVE-2018-12378,CVE-2018-12370,CVE-2018-5125,CVE-2018-5154,CVE-2018-12381,CVE-2018-5187,CVE-2018-12371,CVE-2018-12368,CVE-2018-12386,CVE-2018-12387,CVE-2018-5155,CVE-2018-6126,CVE-2018-5156,CVE-2018-12363,CVE-2018-12377,CVE-2018-12361,CVE-2018-5150,CVE-2017-16541,CVE-2018-5157,CVE-2018-5178,CVE-2018-5129",9.8,2021-09-01
1257,1409,710280,Gentoo Linux Passenger Multiple Vulnerabilities (GLSA 201807-02),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2018-12027,CVE-2018-12026,CVE-2018-12029,CVE-2018-12028",9.8,2021-09-01
1258,1410,710281,Gentoo Linux ncurses Multiple Vulnerabilities (GLSA 201804-13),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2017-13731,CVE-2017-16879,CVE-2017-13729,CVE-2017-13733,CVE-2017-13730,CVE-2017-10684,CVE-2017-10685,CVE-2017-11113,CVE-2017-13732,CVE-2017-13728,CVE-2017-13734,CVE-2017-11112",9.8,2021-09-01
1260,1412,710283,Gentoo Linux cURL Heap-based buffer overflow Vulnerability (GLSA 201807-04),GentooOS,"Unix Authenticated Discovery, Patch Available",CVE-2018-0500,9.8,2021-09-01
1262,1414,710285,Gentoo Linux Mozilla Thunderbird Multiple Vulnerabilities (GLSA 201811-13),GentooOS,"Unix Authenticated Discovery, Patch Available, Exploit Available","CVE-2018-12360,CVE-2018-5159,CVE-2018-5168,CVE-2018-5188,CVE-2018-12385,CVE-2018-12366,CVE-2018-12374,CVE-2018-5127,CVE-2018-5183,CVE-2018-12359,CVE-2018-12379,CVE-2018-12362,CVE-2018-5144,CVE-2018-12365,CVE-2018-12376,CVE-2018-12391,CVE-2018-12383,CVE-2018-12364,CVE-2018-12367,CVE-2018-12378,CVE-2018-5125,CVE-2018-5154,CVE-2018-5145,CVE-2018-5187,CVE-2018-12371,CVE-2018-5162,CVE-2018-12393,CVE-2018-5161,CVE-2018-5184,CVE-2018-5185,CVE-2018-12390,CVE-2018-5155,CVE-2018-5156,CVE-2018-12363,CVE-2018-12377,CVE-2018-12373,CVE-2018-12361,CVE-2018-5150,CVE-2017-16541,CVE-2018-5170,CVE-2018-12392,CVE-2018-5146,CVE-2018-12372,CVE-2018-5178,CVE-2018-12389,CVE-2018-5129",9.8,2021-09-01
1263,1415,710286,Gentoo Linux Exim Multiple Vulnerabilities (GLSA 201803-01),GentooOS,"Unix Authenticated Discovery, Patch Available, Exploit Available","CVE-2018-6789,CVE-2017-16943,CVE-2017-16944",9.8,2021-09-01
1264,1416,710287,Gentoo Linux Mozilla Firefox Multiple Vulnerabilities (GLSA 201802-03),GentooOS,"Unix Authenticated Discovery, Patch Available, Exploit Available","CVE-2017-7809,CVE-2017-7786,CVE-2018-5095,CVE-2017-7824,CVE-2016-10195,CVE-2018-5104,CVE-2017-7774,CVE-2017-5438,CVE-2017-5445,CVE-2017-7819,CVE-2016-10197,CVE-2017-5437,CVE-2017-5433,CVE-2017-7803,CVE-2017-7773,CVE-2017-7805,CVE-2017-5459,CVE-2017-5469,CVE-2017-7750,CVE-2017-7777,CVE-2018-5089,CVE-2017-7798,CVE-2017-5462,CVE-2017-7814,CVE-2017-7844,CVE-2018-5099,CVE-2017-5434,CVE-2017-7818,CVE-2017-7785,CVE-2018-5117,CVE-2018-5091,CVE-2017-7775,CVE-2017-7756,CVE-2017-5432,CVE-2017-5464,CVE-2017-5436,CVE-2017-5443,CVE-2017-7778,CVE-2017-7787,CVE-2017-7802,CVE-2017-5470,CVE-2017-7784,CVE-2017-7752,CVE-2018-5102,CVE-2017-5447,CVE-2016-10196,CVE-2017-5441,CVE-2017-7823,CVE-2017-7793,CVE-2017-7801,CVE-2017-7764,CVE-2017-7776,CVE-2016-6354,CVE-2017-7771,CVE-2017-5465,CVE-2017-5448,CVE-2018-5103,CVE-2017-5429,CVE-2017-7791,CVE-2017-5439,CVE-2017-7757,CVE-2017-5440,CVE-2017-7807,CVE-2017-7772,CVE-2017-7753,CVE-2017-7800,CVE-2017-7843,CVE-2017-5446,CVE-2017-7758,CVE-2017-5472,CVE-2017-5460,CVE-2018-5096,CVE-2017-7779,CVE-2017-5435,CVE-2018-5097,CVE-2017-5444,CVE-2017-5461,CVE-2018-5098,CVE-2017-7792,CVE-2017-7810,CVE-2017-7749,CVE-2017-7754,CVE-2017-5442,CVE-2017-7751",9.8,2021-09-01
1269,1421,710234,Gentoo Linux Adobe Flash Player Multiple Vulnerabilities (GLSA 201803-08),GentooOS,"Unix Authenticated Discovery, Patch Available, Exploit Available","CVE-2018-4878,CVE-2018-4877,CVE-2018-4871,CVE-2018-4919,CVE-2018-4920",9.8,2021-09-01
1274,1426,710239,"Gentoo Linux Chromium, Google Chrome Multiple Vulnerabilities (GLSA 201808-01)",GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2018-6168,CVE-2018-6158,CVE-2018-6153,CVE-2018-6159,CVE-2018-6150,CVE-2018-6164,CVE-2018-6152,CVE-2018-6165,CVE-2018-6177,CVE-2018-6173,CVE-2018-6171,CVE-2018-6162,CVE-2018-6167,CVE-2018-6157,CVE-2018-6179,CVE-2018-6151,CVE-2018-6175,CVE-2108-6150,CVE-2018-6163,CVE-2018-6170,CVE-2018-6044,CVE-2018-6166,CVE-2018-6155,CVE-2018-4117,CVE-2018-6172,CVE-2018-6178,CVE-2018-6161,CVE-2018-6156,CVE-2018-6154,CVE-2018-6176,CVE-2018-6160,CVE-2018-6169,CVE-2018-6174",9.6,2021-09-01
1275,1427,710240,Gentoo Linux unADF Remote code execution Vulnerability (GLSA 201804-20),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2016-1244,CVE-2016-1243",9.8,2021-09-01
1277,1429,710242,Gentoo Linux Quagga Multiple Vulnerabilities (GLSA 201804-17),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2018-5380,CVE-2018-5378,CVE-2018-5381,CVE-2018-5379",9.8,2021-09-01
1279,1431,710244,Gentoo Linux SpamAssassin Multiple Vulnerabilities (GLSA 201812-07),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2018-11780,CVE-2016-1238,CVE-2017-15705,CVE-2018-11781",9.8,2021-09-01
1283,1435,710248,Gentoo Linux Tablib Arbitrary command execution Vulnerability (GLSA 201811-18),GentooOS,"Unix Authenticated Discovery, Patch Available",CVE-2017-2810,9.8,2021-09-01
1287,1439,710252,Gentoo Linux ConnMan Multiple Vulnerabilities (GLSA 201812-02),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2017-12865,CVE-2017-5716",9.8,2021-09-01
1289,1441,710254,Gentoo Linux LibreOffice Information disclosure Vulnerability (GLSA 201802-06),GentooOS,"Unix Authenticated Discovery, Patch Available, Exploit Available",CVE-2018-6871,9.8,2021-09-01
1290,1442,710255,Gentoo Linux ClamAV Multiple Vulnerabilities (GLSA 201801-19),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2017-12379,CVE-2017-12380,CVE-2017-12378,CVE-2017-12376,CVE-2017-12374,CVE-2017-12377,CVE-2017-12375",9.8,2021-09-01
1291,1443,710256,Gentoo Linux librelp Remote code execution Vulnerability (GLSA 201804-21),GentooOS,"Unix Authenticated Discovery, Patch Available",CVE-2018-1000140,9.8,2021-09-01
1294,1446,710259,Gentoo Linux ClamAV Multiple Vulnerabilities (GLSA 201804-16),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2017-11423,CVE-2017-6418,CVE-2018-0202,CVE-2012-6706,CVE-2017-6420,CVE-2018-1000085,CVE-2017-6419",9.8,2021-09-01
1299,1451,710205,Gentoo Linux Mozilla Firefox Multiple Vulnerabilities (GLSA 201811-04),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2018-12393,CVE-2018-12395,CVE-2018-12392,CVE-2018-12390,CVE-2018-12397,CVE-2018-12396,CVE-2018-12389",9.8,2021-09-01
1300,1452,710206,Gentoo Linux Chromium Multiple Vulnerabilities (GLSA 201811-10),GentooOS,"Unix Authenticated Discovery, Patch Available, Exploit Available","CVE-2018-16086,CVE-2018-16082,CVE-2018-16075,CVE-2018-16080,CVE-2018-17466,CVE-2018-17469,CVE-2018-16088,CVE-2018-16072,CVE-2018-16068,CVE-2018-16069,CVE-2018-16076,CVE-2018-17467,CVE-2018-17472,CVE-2018-17474,CVE-2018-16087,CVE-2018-16066,CVE-2018-5179,CVE-2018-16073,CVE-2018-17468,CVE-2018-17470,CVE-2018-16067,CVE-2018-17471,CVE-2018-16074,CVE-2018-16070,CVE-2018-17477,CVE-2018-16071,CVE-2018-17465,CVE-2018-16065,CVE-2018-16079,CVE-2018-17473,CVE-2018-16077,CVE-2018-16085,CVE-2018-17462,CVE-2018-17463,CVE-2018-17475,CVE-2018-16084,CVE-2018-17476,CVE-2018-17464,CVE-2018-16083,CVE-2018-16078,CVE-2018-16081",9.6,2021-09-01
1303,1455,710210,Gentoo Linux spice-gtk Remote code execution Vulnerability (GLSA 201811-20),GentooOS,"Unix Authenticated Discovery, Patch Available",CVE-2017-12194,9.8,2021-09-01
1305,1457,710212,Gentoo Linux Rootkit Hunter User-assisted execution of arbitrary code Vulnerability (GLSA 201805-11),GentooOS,"Unix Authenticated Discovery, Patch Available",CVE-2017-7480,9.8,2021-09-01
1309,1461,710216,Gentoo Linux mbed Transport Layer Security Multiple vulnerabilites Vulnerability (GLSA 201804-19),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2018-0488,CVE-2018-0487,CVE-2017-18187",9.8,2021-09-01
1313,1465,710220,Gentoo Linux Zsh Multiple Vulnerabilities (GLSA 201805-10),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2018-1100,CVE-2018-1083,CVE-2018-1071,CVE-2017-18205,CVE-2018-7549,CVE-2018-7548,CVE-2017-18206",9.8,2021-09-01
1314,1466,710221,Gentoo Linux Xen Multiple Vulnerabilities (GLSA 201810-06),GentooOS,"Unix Authenticated Discovery, Patch Available, Exploit Available","CVE-2018-10982,CVE-2018-12891,CVE-2018-7542,CVE-2017-5754,CVE-2018-12892,CVE-2017-5753,CVE-2018-10472,CVE-2018-3646,CVE-2018-7540,CVE-2018-7541,CVE-2018-10471,CVE-2018-3620,CVE-2018-12893,CVE-2018-10981,CVE-2018-15470,CVE-2018-15468,CVE-2018-15469,CVE-2018-5244,CVE-2017-5715",9.9,2021-09-01
1317,1469,710224,Gentoo Linux Adobe Flash Player Multiple Vulnerabilities (GLSA 201804-11),GentooOS,"Unix Authenticated Discovery, Patch Available, Exploit Available","CVE-2018-4936,CVE-2018-4932,CVE-2018-4937,CVE-2018-4935,CVE-2018-4934,CVE-2018-4933",9.8,2021-09-01
1318,1470,710225,Gentoo Linux Rust Multiple Vulnerabilities (GLSA 201812-11),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2018-1000810,CVE-2018-1000622",9.8,2021-09-01
1319,1471,710226,Gentoo Linux rsync Multiple Vulnerabilities (GLSA 201801-16),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2017-17434,CVE-2017-16548,CVE-2017-17433",9.8,2021-09-01
1325,1477,239580,Red Hat Update for rh-python38 (RHSA-2021:3254),RedHat,"Unix Authenticated Discovery, Patch Available","CVE-2020-25659,CVE-2020-27619,CVE-2020-27783,CVE-2020-28493,CVE-2020-36242,CVE-2021-3177,CVE-2021-3426,CVE-2021-3572,CVE-2021-20095,CVE-2021-23336,CVE-2021-28957,CVE-2021-29921,CVE-2021-33503",9.8,2021-09-01
1326,1478,239582,Red Hat Update for python27 (RHSA-2021:3252),RedHat,"Unix Authenticated Discovery, Patch Available","CVE-2020-27619,CVE-2020-28493,CVE-2021-3177,CVE-2021-20095,CVE-2021-20270,CVE-2021-23336,CVE-2021-27291",9.8,2021-09-01
1329,1481,239586,Red Hat Update for libX11 (RHSA-2021:3296),RedHat,"Unix Authenticated Discovery, Patch Available",CVE-2021-31535,9.8,2021-09-01
1333,1485,239590,Red Hat Update for rh-nodejs12-nodejs and rh-nodejs12-nodejs-nodemon (RHSA-2021:3281),RedHat,"Unix Authenticated Discovery, Patch Available","CVE-2020-7788,CVE-2020-28469,CVE-2021-3672,CVE-2021-22930,CVE-2021-22931,CVE-2021-22939,CVE-2021-22940,CVE-2021-23343,CVE-2021-32803,CVE-2021-32804",9.8,2021-09-01
1334,1486,239591,Red Hat Update for rh-nodejs14-nodejs and rh-nodejs14-nodejs-nodemon (RHSA-2021:3280),RedHat,"Unix Authenticated Discovery, Patch Available","CVE-2020-7788,CVE-2020-28469,CVE-2021-3672,CVE-2021-22930,CVE-2021-22931,CVE-2021-22939,CVE-2021-22940,CVE-2021-23343,CVE-2021-32803,CVE-2021-32804",9.8,2021-09-01
1336,1488,257108,CentOS Security Update for libX11 (CESA-2021:3296),CentOS,"Unix Authenticated Discovery, Patch Available",CVE-2021-31535,9.8,2021-09-01
1345,1498,900315,CBL-Mariner Linux Security Update for nodejs 14.17.2,CBL-Mariner,"Unix Authenticated Discovery, Patch Available","CVE-2021-22940,CVE-2021-22939,CVE-2021-22931",9.8,2021-08-31
1350,1503,710192,Gentoo Linux Keepalived Multiple Vulnerabilities (GLSA 201903-01),GentooOS,"Unix Authenticated Discovery, Patch Available","CVE-2018-19044,CVE-2018-19115,CVE-2018-19046,CVE-2018-19045",9.8,2021-08-31
